,Department,Department_FULL,Course_Number,Instructor_1,Instructor_2
0,AFRICAM,AFRICAN_AMERICAN_STUDIES,125AC,Ula_Yvette_Taylor,NaN
1,ANTHRO,ANTHROPOLOGY,2AC,Kirsten__Vacca,NaN
2,ANTHRO,ANTHROPOLOGY,3AC,Brian_B_Karl,NaN
3,ASAMST,ASIAN_AMERICAN_STUDIES,W20AC,Harvey_C_Dong,NaN
4,COMLIT,COMPARATIVE_LITERATURE,N60AC,Cory__Merrill,NaN
5,COMLIT,COMPARATIVE_LITERATURE,N60AC,Max__Kaisler,NaN
6,COMLIT,COMPARATIVE_LITERATURE,W60AC,Karina_Ruth-Esther_Palau,NaN
7,COMLIT,COMPARATIVE_LITERATURE,156AC,Thomas_Patrick_McEnaney,NaN
8,EDUC,EDUCATION,W140A,Glynda_A._Hull,_Bharat__Suri
9,EDUC,EDUCATION,W140A,Glynda_A._Hull,_Daniele__Fogel
10,ENGLISH,ENGLISH,166AC,Bryan__Wagner,NaN
11,ESPM,"ENVIRONMENTAL_SCIENCE,_POLIC...",50AC,NA,NaN
12,ETHSTD,ETHNIC_STUDIES,10AC,John__Dougherty,NaN
13,ETHSTD,ETHNIC_STUDIES,21AC,Alex_M_Saragoza,NaN
14,ETHSTD,ETHNIC_STUDIES,122AC,Raymond__Telles,NaN
15,ETHSTD,ETHNIC_STUDIES,144AC,Trina_L_Thompson,NaN
16,FILM,FILM_STUDIES,140AC,Emily_Catherine_West,NaN
17,GEOG,GEOGRAPHY,N50AC,NA,NaN
18,GWS,GENDER_&_WOMEN’S_STUDIES_(fo...,100AC,Michelle__Koerner,NaN
19,GWS,GENDER_&_WOMEN’S_STUDIES_(fo...,130AC,Laura_C_Nelson,NaN
20,HISTORY,HISTORY,7B,NA,NaN
21,HISTORY,HISTORY,124B,NA,NaN
22,HISTORY,HISTORY,131B,NA,NaN
23,HISTORY,HISTORY,137AC,NA,NaN
24,INTEGBI,INTEGRATIVE_BIOLOGY,35AC,NA,NaN
25,LEGALST,LEGAL_STUDIES,132AC,Carrie__Rosenbaum,NaN
26,LINGUIS,LINGUISTICS,155AC,NA,NaN
27,MUSIC,MUSIC,N26AC,NA,NaN
28,NUSCTX,NUTRITIONAL_SCIENCES_AND_TOXICOLOGY,W104,Kristen_K._Rasmussen,NaN
29,PHILOS,PHILOSOPHY,117AC,NA,NaN
30,PSYCH,PSYCHOLOGY,166AC,Sara_M_Gorchoff,NaN
31,SOCIOL,SOCIOLOGY,111AC,Mario_D._Castillo,_Laura_J_Enriquez
32,SOCIOL,SOCIOLOGY,113AC,Brian_A_Powers,NaN
33,THEATER,"THEATER,_DANCE,_AND_PERFORMA...",118AC,Abigail_T._De_Kosnik,NaN
